Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
00:25:55  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:25:56  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:25:57  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:25:58  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:25:59  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:26:00  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
00:26:02  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_TRD799          |null                |Turning             
00:26:03  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_TRD799          |null                |Turning             
00:26:04  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD799          |null                |Turning             
00:26:06  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD799          |null                |Turning             
00:26:07  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD799          |null                |Turning             
00:26:08  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD799          |null                |Turning             
00:26:10  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD799          |null                |Threading           
00:26:11  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD799          |null                |Threading           
00:26:13  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD799          |null                |Threading           
00:26:14  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD799          |null                |Threading           
00:26:15  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD799          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
00:26:17  |Idle      |4s       |Idle      |-s       |Idle      |-s       |WID_DRL729          |null                |null                
00:26:18  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL729          |null                |null                
00:26:19  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_DRL729          |null                |null                
00:26:21  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL729          |null                |null                
00:26:22  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL729          |null                |Turning             
00:26:24  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL729          |null                |Turning             
00:26:25  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL729          |null                |Turning             
00:26:26  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL729          |null                |Turning             
00:26:28  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL729          |null                |Turning             
00:26:29  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL729          |null                |Turning             
00:26:31  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL729          |null                |Drilling            
00:26:32  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL729          |null                |Drilling            
00:26:33  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL729          |null                |Drilling            
00:26:35  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL729          |null                |Drilling            
00:26:36  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL729          |null                |Turning             
00:26:37  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL729          |null                |Turning             
00:26:39  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL729          |null                |Turning             
